,Lyrics,Era
27,"


Ho-la, ho-la, hey
Ho-la, ho-la, hey
Rolling rolling roll
With Kid 'n Play now
Rolling rolling roll
With Kid 'n Play now

Ho-la, ho-la, hey
Ho-la, ho-la, hey
Rolling rolling roll
With Kid 'n Play now
Rolling rolling roll


Now Play
I don't know what it is
About this beat, that we have here
But it sure is funky

Yo' Kid
I don't know what it is
About this groove, that's here making us move
But it sure is funky

We think its time to rap
Shall we, surely


Kid 'n Play back rolling strong
Dope and def
We can get funky with the best
We're just hyping it up
You know just how it had to be
Just take a look around boy can't ya' see
Guys are bum rushing
Girls are just blushing
Wiz watch the scratch
While Hurb's on percussion
Setting the stage for the stage to get set off
I bust a rhyme and a dance so just jet off
So get off, because you bit off, more than you can chew
Now watch the dynamic duo
Do a little go-go thang
No more rock and swing
Ya gotta
Roll with Kid 'n Play
Now everybody say



Ho-la, ho-la, hey
Ho-la, ho-la, hey
Rolling rolling roll
With kid n play now
Rolling rolling roll
With Kid 'n Play now

Ho-la, ho-la, hey
Ho-la, ho-la, hey
Rolling rolling roll
With Kid 'n Play now
Rolling rolling roll


Now we're the stars of stage, wax and video
We're here to tear it up
So come on here we go
Pump it up, this is high powered stuff
Kid 'n Play can't get enough
Of that funky go-go-go rhythm
You wanted a dope jam
Well that's what we given
We're heading for fame
Because Kid 'n Play's driven
And boy we don't game
And large is how we living
We stay paid
You know the boys have got it made
See i'm the tramp
And the fella with the high top fade
Getting down to the sounds
You know we about to turn it out
Roll with Kid 'n Play
Everybody shout


Ho-la, ho-la, hey
Ho-la, ho-la, hey
Rolling rolling roll
With Kid 'n Play now
Rolling rolling roll
With Kid 'n Play now

Ho-la, ho-la, hey
Ho-la, ho-la, hey
Rolling rolling roll
With Kid 'n Play now
Rolling rolling roll


I bet you ladies wanna see
A P-L-A-Y and K-I-D
Ya' not like the rest
Are style is def
And we present ourselves as the very best
On the microphone we bring light to your soul
Your whole damn body we will control
So stay calm don't get alarmed
Gonna relax ya' ladies with are deadly charm
Wanna goto work on you fellas too
Make you wanna do the things we do
'Cause when ah, Kid 'n Play's in your town
Ya gotta keep rapping to the go-go sound
Ya gotta keep rocking all day, all night
'Cause we're different than light
Dynamite on the mic
So shake it, your butt shake it down
We got the best music all around
Hurb's the producer
Wiz is the DJ
Roll with Kid 'n Play
Now everybody say


Ho-la, ho-la, hey
Ho-la, ho-la, hey
Rolling rolling roll
With Kid 'n Play now
Rolling rolling roll
With Kid 'n Play now

Ho-la, ho-la, hey
Ho-la, ho-la, hey
Rolling rolling roll
With Kid 'n Play now
Rolling rolling roll

",1980-2000
28,"


Ice Cube with Da Lench Mob, I got it goin' on
A nigga that's livin' in the city of the criminal zone
One-time can't keep the law in order
'Cause everybody's goin' crazy for a quarter
You're tuned in to the number one crew in the area
The way I'm talkin' I'm scarin' ya
I'm darin' ya to raise hell and bail and brag and sag
Or beat down for ya flag
'Cause if you is or you ain't a gangbanger
Keep one in the chamber
'Cause you'll get them thangs put on ya son
Ice Cube has got the 4-1-1
All the ol' school house fellows are crooks
So I get jealous looks
They keep thinkin' did my head grow?
Will the boys in the hood have to beat down Ice Cube?
Hell no, I'll static son, you'll see it's okay
I keep my nine anyway
For the day one of my homies wanna squab
I'm still rollin' wit Da Lench Mob


(America's Most Wanted)


Back in the day I did my share of dirt
Sometimes I got away clean, sometimes people got hurt
But if you know me, you know that I'm liable
To bust a cap 'cause it's all about survival of the fittest
I'm a menace crook
I did so much dirt, I need to be in the Guinness Book
From the shit I took from people
I repo your Vette, then jet
Back to the criminal set
I leave clue after clue, but they can't catch me yet
'Cause I'm slick as slippery
They can't get with me, cops ain't shit to me
I can't dig a pig, so I drop the dogs
And sweat em like sweathogs
And get mad, mad 'cause I'm the nigga that flaunt it
AmeriKKKa's Most Wanted


Aiyo, here's what the poster read
""Ice Cube is wanted dead""
That's all it said
I put heads to bed and fled the scene wit all the green
Hear shots and si-reens
When I fiend, first they yo' rings, now they my rings
So give it up punk and then I just
Put another jack in progress
It's the American way
'Cause I'm the G-A-N-G-S-T-A
Ice Cube, a motherfuckin' klepto
And tried to catch the early bird but they slept, so
Who gets the worm?
And if I'm caught in a trap, wou know I'ma beat the wack
With a payoff, cop gotta lay off
FBI on my dick, stay off!
I'm not a rebel or a renegade on a quest
I'm a nigga with a 'S' on his chest
So get the Kryptonite 'cause I'm a rip tonight
'Cause I'm scarin' ya, wanted by America


(Aiyo Cube man, they on your ass)


Word, but who the fuck is Herb?
It's time to take a trip to the suburbs
Let 'em see a nigga invasion
Point blank on a Caucasian
Cocked the hammer, didn't crack no smile
Take me to your house, pal
Got to the house, my pockets got fat, see
Crack the safe, got the money and the jewelry
Three weeks later, I'm at the P-A-D
Had a little fly ass bitch wit me
Sittin' in the den, yo it couldn't be
(What up, G?) Saw my face on TV
Damn (oh shit!) I didn't know I lucked out
Struck out, I gotta get the fuck out
Packed my bags and tried to hit the door when
The ol' bitch down the street must've turned me in
Cos the feds was out there ten deep
I got hassled and gaffled in the back seat
I think back when I was robbin' my own kind
The police didn't pay it no mind
But when I start robbing the white folks
Now I'm in the pen with the soap-on-a-rope
I said it before and I'll still taught it
Every motherfucker with a color is most wanted


AmeriKKKa's Most Wanted, uh,  reports that Ice Cube is the leader of the, uh, Lench Mob. Uh, also in the group they have J-Dee, Chill, T-Bone, Yo-Yo, Del, K-Dee
Sounds like a black thing

",1980-2000
29,"


Now dis one dedicated to de man dem call MacGyver (bo!)
And all double-oh-seven James Bond spy man is from de area (gunshot, gunshot)
Maximum respect to de man dem call Ice Cube (bo! bo!)
Him nah bust no deuce-deuce, no trey-eight, but four-four (GET WICKED!)


One, two, three and I come with the wicked
Style, and you know that I'm from, the wicked
Crew, act like you knew
Cause I got everybody jumpin' to the voodoo, kick it
Wicked rhymes, picket signs
While me and the Mob gotta trunk fulla nines
Play ya and I'll slay ya
I got the mayor by the hair
Ready to BUCK BUCK BUCK and it's a must
To DUCK DUCK DUCK before I bust
Lookin for the one that did it
But like En Vogue, no you're never gonna get it
Cos I'm the one with the fat mad skills
And I won't choke like the Buffalo Bills
Sittin' at the pad just chillin'
Cause Larry Parker just got two million, oh what a feelin'
So shake that nigga and pass me the pill
And I'll slam dunk ya like Shaquille O'Neal
Like it, dig it, maybe
And watch that test tube baby, kick it
Cause I get wicked


You know dem wicked, Ice Cube and Torture Chamber sound
Yes dem wicked, him pick up de mic and buss up de ground
Yes dem wicked, all of dem gyal with de sound
My name is Don Jagwarr and Ice Cube we run de town (wicked!)

(""Look at the way I kick it, I'm wicked"")
Bo! Wicked! Bo! Wicked man! (Bo!)
(""Look at the way I kick it, I'm wicked"")
Bo! (""Wicked!"")! Bo! (""Wicked man!"") (bo!)


Don't say nuttin, just listen
Got me a plan to break Tyson outta prison
Come my way and get served
Still got a deuce that'll bunny hop the curb
Nappy head, nappy chest, nappy chin
Never seen with a happy grin
Show the fat frown cause I'm down, take a look around
All you see is big black boots steppin
Use my steel toe as a weapon
Kick ya and flip ya, now they want to
Label this nigga' tape with the sticker
Diggin' out girls that's ""nicety""
Plus I gotta body count like Ice-T.
From here to New York, I get skins and ain't talkin bout pork
Swine, pig, dig, listen to the flow of a so-called neg-
-ro, who didn't know I was funky as Wilson Pickett
Dig it cause I get wicked




People wanna know how come
I got a gat and I'm lookin out the window like Malcolm
Ready to bring that noise
Kinda trigger happy like the Geto Boys
April 29th brought power to the people
And we might just see a sequel
Cause police got equal hate
A chazzer's a pig that don't fly straight
Through with Daryl Gates but is Willie Williams
Down with the pilgrims?
Just a super slave
We'll have to break his ass up like Super Dave
I'm wicked enough to board this
Cause now it's on to the fullest
Gorilla straight from the mist
But I don't miss when it comes to uh this
Bring the yellow tape
The white cape, cause I'm so straight
Through with the picket signs, take this job and stick it, Bigot, cause I get wicked


Yes dem wicked, dem wicked, jus pick up de mic
Yes dem wicked, dem wicked, jus put down de gun
Yes dem wicked, dem wicked, cuz we run de town
Dem wicked, dem wicked, cuz we run de town
Yes dem wicked, gwaan!

Back wha, seen, den de one dem call Ice Cube
International superstar don gorgon style (bo!)
Way back in Brooklyn, inside of Los Angeles, South Central style
Torture chambers, (bo!) dem run the country (maximum respect!)
And my name is Don Jagwarr, we are the top celebrity seen

Because we wicked, we wicked, we pick up de mics
Yes we wicked, we wicked, we put down de guns
Yes dem wicked, dem wicked, but we run de town
(wicked man!)

",1980-2000
30,"




Break 'em
Yeah
Yeah
Yeah
Uh


Just wakin' up in the morning, gotta thank God
I don't know, but today seems kinda odd
No barking from the dog, no smog
And Momma cooked a breakfast with no hog
I got my grub on, but didn't pig out
Finally got a call from a girl I wanna dig out
Hooked it up for later as I hit the door
Thinkin', ""Will I live another 24?""
I gotta go 'cause I got me a drop-top
And if I hit the switch, I can make the ass drop
Had to stop at a red light
Lookin' in my mirror and not a jacker in sight
And everything is alright
I got a beep from Kim, and she can fuck all night
Called up the homies and I'm askin' y'all
""Which park are y'all playin' basketball?""
Get me on the court and I'm trouble
Last week, fucked around and got a triple double
Freakin' niggas every way, like MJ
I can't believe today was a good day


Drove to the pad and hit the showers
Didn't even get no static from the cowards
'Cause just yesterday them fools tried to blast me
Saw the police and they rolled right past me
No flexin', didn't even look in a nigga's direction
As I ran the intersection
Went to Short Dog's house, they was watchin' Yo! MTV Raps
What's the haps on the craps?
Shake 'em up, shake 'em up, shake 'em up, shake 'em
Roll 'em in a circle of niggas
And watch me break 'em with the 7, 7-11, 7-11
7, even back door Lil Joe
I picked up the cash flow
Then we played bones, and I'm yellin': ""Domino!""
Plus nobody I know got killed in South Central LA
Today was a good day


Left my nigga's house paid
Picked up a girl been tryna fuck since the 12th grade
It's ironic, I had the brew, she had the chronic
The Lakers beat the Supersonics
I felt on the big fat fanny
Pulled out the jammy and killed the punani
And my dick runs deep, so deep
So deep put her ass to sleep
Woke her up around one
She didn't hesitate to call Ice Cube the top gun
Drove her to the pad and I'm coastin'
Took another sip of the potion, hit the three-wheel motion
I was glad everything had worked out
Dropped her ass off and then chirped out
Today was like one of those fly dreams
Didn't even see a berry flashin' those high beams
No helicopter lookin' for a murder
Two in the morning, got the Fatburger
Even saw the lights of the Goodyear Blimp
And it read ""Ice Cube's a Pimp"" (Yeah)
Drunk as hell, but no throwin' up
Halfway home and my pager still blowin' up
Today I didn't even have to use my AK
I gotta say, it was a good day


Hey, wait, wait a minute!
Pooh, stop this shit!
What the fuck am I thinkin' about?

",1980-2000
31,"


Yeah, word is born
Das EFX in this yaknowhatI'msayin
Straight from the sewer, word is born
We doing this with my nigga
Where my nigga Ice Cube in the motherfucker
Word is born, yeah


You better check yo self before you wreck yo self
Cause I'm bad for your health
I come real stealth
Dropping bombs on your moms
Fuck car alarms
Doing foul crime
I'm that nigga wit'cha Alpine
Sold it for a six-o, always let tricks know
And friends know we got the indo
No I'm not a sucker sitting in a House of Pain
And no I'm not the butler, I'll cut ya
Head-butt ya, you say you can't touch this
And I wouldn't touch ya, in fact mothafucka
Here to let you know boy - oh boy
I make dough but don't call me Dough Boy
This ain't no fucking motion picture
A guy or bitch-a, my nigga get wit-cha
And hit you taking that yak to the neck
So you better run a check


(So come on and chickity-check yo self before you wreck yo self
Chickity-check yo self before you wreck yo self
Yeah, come on and check yo self before you wreck yo self)
Cause shotgun bullets are bad for your health
Mic-mic-microphone check (One, two! Check it!)
Mic-mic-microphone check (One, two! Check it!)


Tricks wanna step to Cube and then they get played
'Cause they bitchmade pulling out a switchblade
That's kinda trifle 'cause that's a knife, ho
AK-47, Assault Rifle
Hold the fifty, I'm nifty, pow
I gotta new style (Watch out now)
I hate motherfuckers claiming that they folding bank
But steady talking shit in the holding tank
First you wanna step to me?
Now your ass screaming for the deputy
They send you to Charlie-Baker-Denver row
Now they runnin' up in you slow
You're gone, used to be the Don Juan (check that shit out)
Now your name is just Twan
Switch it, snap it, rolling your eyes and neck
You better run a check


(So chickity-check yo self before you wreck yo self
Come on and check yo self before you wrickity-wreck yo self
So chickity-check yo self before you wreck yo self)
Cause big dicks in yo ass is bad for ya health
Mic-mic-microphone check (One, two! Check it!)
Mic-mic-microphone check (One, two! Check it!)


If you're foul, you better run a make on that license plate
You coulda had a V8
Instead of a tre-eight slug to your cranium (POW!)
I got six and I'm aimin' 'em
Will I shoot or keep you guessing
'Cause fuck you and that shit you're stressing
Bitch get off the wood, you're no good
There goes the neighborhood hooker (slut)
Go ahead and keep your drawers
Giving up the claps and who needs applause
At a time like this, pop the coochie and you dead
The bitch is a Miami Hurricane head
Sprung, niggas call her 'Lips & Lungs'
Nappy dugout, get the fuck out
'Cause women like you gets no respect
Bitch, you better run a check


(So chickity-check yo self before you wreck yo self
So chickity-check yo self before you wreck yo self
Come on and check yo self before you wrickity-wreck yo self)
Cause bitches like you is bad for my health
Mic-mic-microphone check (One, two! Check it!)  come again check it
Mic-mic-microphone check (One, two! Check it!) come again check it
(Chickity-check yo self before you wreck yo self
You better chickity-check yo self before you wreck yo self
I said check yo self before you wrickity-wreck yo self) check, check
(Chickity-check yo self before you wreck yo self
You better chickity-check yo self before you wreck yo self
I said check yo self before you wrickity-wreck yo self) check, check
Mic-mic-microphone check
Mic-mic-microphone check  (check it, one, two!)
Mic-mic-microphone check  (One, two! )
Mic-mic-microphone check  (check it, one, two, one, two!)
Mic-mic-microphone check  (one, two!)
Mic-mic-microphone check  (check it, one, two!, one, two! )
Mic-mic-microphone check  (one, two)
Mic-mic-microphone check  (Check yo self Cube, Check yo self Cube, check yo self... )

",1980-2000
32,"


Yeah, yeah
Blaze one for the nation
Brrrrr
Brrrrr
Brrrrr

Verse 1: Ice Cube
I got lyrics that wake up spirits
They told me how to make big hits and spend digits
Can you dig it?
You fed, you dead, see red
My lead, yo head, I fed
Like you shit
I got rhymes push that shit like weight
My nigga Lincoln help me navigate
Through this hate retaliate, it's official
I got that bomb, bomb, diddy, diddy, diddy, bomb, bomb
When I hit you
Push the issue
My ghetto dope is amazin
The bitch that's with you already know that I'm blazin
Slide the number, we can slumber, on the under
Girl no wonder, you got a ass full of thunder
The frozen tundra ain't cold enough
And baby ain't old enough
For this game I'm rollin up
De-zamn it feels good to be the Don
Straight legit, while niggas like Gotti just sit


A yeah yeah
I push rhymes like weight
I push rhymes like weight
A yeah yeah
I push rhymes like weight
I push rhymes like weight
A yeah yeah
I push rhymes like weight
I push rhymes like weight
A yeah yeah
I push rhymes like weight
I push rhymes like weight


I hold zone like a Corleone
No more fuckin with that homegrown
Hit the shit we on
The Rolleo's and the baguettes
You still fuckin with them faggots
We turn haters into maggots
Oak on the dash, but no coke on the hash
You broke ass niggas learn to mash, like me
Constantly, put the hustle down
With four or five niggas that's musclebound
Send your head to the taxidermist
Won't be satisfied, till I get my face on a thermos
You got to earn this, you can't take it
Can't fake it, got to live it, or we gots to visit
Who is it, the exquisite, Don Mega
Walkin with my entourage, I think I'm betta, makin chedda
You see me sag in my Jag, with the rag recognize the flag
You betta get back!


Everybody wanna do it like me
I got it made, been makin rap money since the tenth grade
(Ch-ching)
Since the tenth grade
(Ch-ching)
(What you need)


A yeah yeah
I push rhymes like weight
I push rhymes like weight
A yeah yeah
I push rhymes like weight
I push rhymes like weight
A yeah yeah
I push rhymes like weight
I push rhymes like weight
A yeah yeah
I push rhymes like weight
I push rhymes like weight


I keeps a firm grip on my shit when in transit
Uncandid, it's the young bandit
Fresh out the trenches, the woodworks
City of the champion, where the hood work
In search of the rich blocks, to lick spots, and kick rocks
From shattered glass, down to pick locks
Want chips by the Glocks
You niggas scramblin for bullion
And settle for crumbs and croutons
I'm out for armored bucks and armored trucks, with armed killas
Bitch niggas get swallowed by the armadillos
Ain't no harmin me, the army full of ornery niggas you can't see
So while you pace bitches and Saturns livin janky
I hangs with niggas who got patterns on they hankies
After Ben Frankeys, with the big skull and eyes
You niggas bound and nullified
Sit back and mine stack it multiply


A yeah yeah
I push rhymes like weight
I push rhymes like weight
(2X)
A yeah yeah
I push rhymes like weight
I push rhymes like weight
(2X)

 (starts during chorus)
Ask about me
Worldwide baby
Worldwide baby (A yeah yeah)
Ice Cube makin more money in the rap game
Than some of you can (A yeah yeah) with a bird in your hand
Puttin it down
We wanted in fifty states for this weight
(A yeah yeah)
Pushin rhymes like weight
Pushin rhymes like weight
(A yeah yeah)
Yeah, blaze one for the nation
(A yeah yeah)
You know my name
You know my name
(A yeah yeah)
You know my name

Yeah, some of you fools just got in it
And think you gonna change the game
You ain't changin nothin

I been doin this, I been doin this
Ask about me
Ask about me

",1980-2000
33,"


""Американская фирма Transceptor Technology приступила к производству компьютеров «Персональный спутник.""


I've got the power


Like the crack of the whip, I Snap attack
Front to back, in this thing called rap
Dig it like a shovel, rhyme devil on a heavenly level
Bang the bass, turn up the treble
Radical mind, day and night all the time
7:14, wise, divine
Maniac brainiac, winnin' the game
I'm the lyrical Jesse James


Quality I possess and say I'm fresh
When my voice goes through the mesh
Of the microphone that I am holding
Copy written lyrics so they can't be stolen
If they all Snap, don't need the police
To try to save them, your voice will cease
So peace, stay off my back
Or I will attack, and you don't want that


I've got the power
I've got the power
I've got the power
I've got the power


It's gettin', it's gettin', it's gettin' kinda hectic


I've got the power
I've got the power
I've got the power
I've got the power


It's gettin', it's gettin', it's gettin' kinda hectic


Quality I possess and say I'm fresh
When my voice goes through the mesh
Of the microphone that I am holding
Copy written lyrics so they can't be stolen
If they all Snap, don't need the police
To try to save them, your voice will cease
So peace, stay off my back
Or I will attack, and you don't want that


I've got the power
I've got the power
I've got the power
I've got the power

",1980-2000
34,"


""Американская фирма Transceptor Technology приступила к производству компьютеров «Персональный спутник.""


I've got the power


Like the crack of the whip, I Snap attack
Front to back, in this thing called rap
Dig it like a shovel, rhyme devil on a heavenly level
Bang the bass, turn up the treble
Radical mind, day and night all the time
7:14, wise, divine
Maniac brainiac, winnin' the game
I'm the lyrical Jesse James


Quality I possess and say I'm fresh
When my voice goes through the mesh
Of the microphone that I am holding
Copy written lyrics so they can't be stolen
If they all Snap, don't need the police
To try to save them, your voice will cease
So peace, stay off my back
Or I will attack, and you don't want that


I've got the power
I've got the power
I've got the power
I've got the power


It's gettin', it's gettin', it's gettin' kinda hectic


I've got the power
I've got the power
I've got the power
I've got the power


It's gettin', it's gettin', it's gettin' kinda hectic


Quality I possess and say I'm fresh
When my voice goes through the mesh
Of the microphone that I am holding
Copy written lyrics so they can't be stolen
If they all Snap, don't need the police
To try to save them, your voice will cease
So peace, stay off my back
Or I will attack, and you don't want that


I've got the power
I've got the power
I've got the power
I've got the power

",1980-2000
35,"


""Американская фирма Transceptor Technology приступила к производству компьютеров «Персональный спутник.""


I've got the power


Like the crack of the whip, I Snap attack
Front to back, in this thing called rap
Dig it like a shovel, rhyme devil on a heavenly level
Bang the bass, turn up the treble
Radical mind, day and night all the time
7:14, wise, divine
Maniac brainiac, winnin' the game
I'm the lyrical Jesse James


Quality I possess and say I'm fresh
When my voice goes through the mesh
Of the microphone that I am holding
Copy written lyrics so they can't be stolen
If they all Snap, don't need the police
To try to save them, your voice will cease
So peace, stay off my back
Or I will attack, and you don't want that


I've got the power
I've got the power
I've got the power
I've got the power


It's gettin', it's gettin', it's gettin' kinda hectic


I've got the power
I've got the power
I've got the power
I've got the power


It's gettin', it's gettin', it's gettin' kinda hectic


Quality I possess and say I'm fresh
When my voice goes through the mesh
Of the microphone that I am holding
Copy written lyrics so they can't be stolen
If they all Snap, don't need the police
To try to save them, your voice will cease
So peace, stay off my back
Or I will attack, and you don't want that


I've got the power
I've got the power
I've got the power
I've got the power

",1980-2000
36,"

(Featuring No Good But So Good)
WHAT TIME IS IT?? (BOOTY TIME)

CHORUS:
Let's go Raise the roof
Put em up there
Raise the Roof
Put em up there
Raise the roof
Put em up there
Raise the roof Repeat 4 more times
Come on ya'll it's a big booty party
Get all ya'll day in day
Chillin' in the M to the I to the A
Makin' hits with Luke this way
Burn the roof downtown..up
If ya feel me just pump your fists up
Left side, right side, what's up
Put them legs up, wanna' be change up
Biggest stars show up out to the beat
Federal track got more game than the Heat
Get with that and I'ma get with this
If you need to bite something playa bite this
Don't say (???) how ya feel
Now like a pimp talkin' out, comin' here
Southside ready to get loose
Pump ya fists and just raise the roof
CHORUS
Throw your hands in the air
Big booty girls shake your darria
And the place gonna' see one
Yeah I see ya'll playa's representing over there
And what about New York, Foxy Brown
You know that we get down
T nasty in the house and we don't quit
This and that girls move your ass pump ya fists
Little Kim and NGBG, pump ya fists in the air if your with me
One time for Salt N Pepa
Luke breaks express, gets so better
Can't leave out the dirty south
Phatlanta and the Brat
That's what it's all about
So (????) you came in
All across the world let me see you pump your fists
CHORUS
What time is it? (Booty Time)
What time is it? (Booty Time)
What time is it? (Booty, booty, booty time) -Repeat
CHORUS
Time to get right, ride down I95
Might see me at Iny
Wednesday night 4 - 5 - 6
Head track, Monday night fat break fsss
Take a trip where they go, Cay club Chicago
Ain't no tellin' where I might be
Huston Texas, or D.C
Red Roper Fayetteville, Cap D get ill
Eastside New York, Funk Master Flex get back
Sssssouthside bama 9
WESTCOAST, show me love
For bound west in the G-club
Uncle Luke get loose
I'm platinum bound, Now Raise the roof
CHORUS
Put em up there
Put em up there
Put yo hands up high (HIGH)
Let me see you raise the roof (let me see you raise the roof)
Put yo hands up high (HIGH)
Let me see you raise the roof (let me see you raise the roof)
Let me see you raise the Roof, roof, roof

",1980-2000
37,"

(Featuring No Good But So Good)
WHAT TIME IS IT?? (BOOTY TIME)

CHORUS:
Let's go Raise the roof
Put em up there
Raise the Roof
Put em up there
Raise the roof
Put em up there
Raise the roof Repeat 4 more times
Come on ya'll it's a big booty party
Get all ya'll day in day
Chillin' in the M to the I to the A
Makin' hits with Luke this way
Burn the roof downtown..up
If ya feel me just pump your fists up
Left side, right side, what's up
Put them legs up, wanna' be change up
Biggest stars show up out to the beat
Federal track got more game than the Heat
Get with that and I'ma get with this
If you need to bite something playa bite this
Don't say (???) how ya feel
Now like a pimp talkin' out, comin' here
Southside ready to get loose
Pump ya fists and just raise the roof
CHORUS
Throw your hands in the air
Big booty girls shake your darria
And the place gonna' see one
Yeah I see ya'll playa's representing over there
And what about New York, Foxy Brown
You know that we get down
T nasty in the house and we don't quit
This and that girls move your ass pump ya fists
Little Kim and NGBG, pump ya fists in the air if your with me
One time for Salt N Pepa
Luke breaks express, gets so better
Can't leave out the dirty south
Phatlanta and the Brat
That's what it's all about
So (????) you came in
All across the world let me see you pump your fists
CHORUS
What time is it? (Booty Time)
What time is it? (Booty Time)
What time is it? (Booty, booty, booty time) -Repeat
CHORUS
Time to get right, ride down I95
Might see me at Iny
Wednesday night 4 - 5 - 6
Head track, Monday night fat break fsss
Take a trip where they go, Cay club Chicago
Ain't no tellin' where I might be
Huston Texas, or D.C
Red Roper Fayetteville, Cap D get ill
Eastside New York, Funk Master Flex get back
Sssssouthside bama 9
WESTCOAST, show me love
For bound west in the G-club
Uncle Luke get loose
I'm platinum bound, Now Raise the roof
CHORUS
Put em up there
Put em up there
Put yo hands up high (HIGH)
Let me see you raise the roof (let me see you raise the roof)
Put yo hands up high (HIGH)
Let me see you raise the roof (let me see you raise the roof)
Let me see you raise the Roof, roof, roof

",1980-2000
38,"

Chorus
Treat 'em like they wanna be treated
You should treat 'em right
(Repeat 4x's)
Yeah, oh yeah
What you need to do...
You should treat them right
Oh, yeah

Why girls play with my feelings?
I don't know so that's why I ask
Maybe it's true that I set myself up
But then again it's the question I asked
I want someone for me who is straight
A kind of cutie. Yes, yep, a smart mate
I've been around searching for the right one
But it seems like a waste of my time
Every time that I meet the right 1
It seems as if she plays with my mind
So it makes me on the defense side
Because my offense is sort of slow
It doesn't pay to tell someone ""I love you""
Because in my vocab ""I love u"" is a no, no
I think I give in. My feelings, they show
I think I'd better not look back
I've been down a little too long
And now it's time that I get on track
So I must...

Chorus

I like to mingle when I do mingle
I love to mingle when I do flirt
I get off hand and tell the stories
About my past & that's when it hurts
But I need to find for me a lonesome lady type
Who wants me for self
A woman who wants me because of Father
Not for the fame or for my wealth
So I can ""Show her how I feel""
Yeah, ladies I'm not that picky
But being picky is just for self
I must protect what I respect
And that is me & not someone else
I've been mistreated up on the downhill
Back in the days I used to be strong
I used to flirt, hurt, kind of jerk
Get the cash, the sex then I'm gone
But payback is a mother
And now I don't know who to trust
So I just...

Chorus

Yeah, you know women? Yeah they tell me I'm lovely & cuddly but I just don't understand why they want to play with my feelings. But it won't happen again
Nah, never

(No, no no no no no...)

So listen ladies I'll treat you
How you treat me back in return
I'm not rude. No, I'm not stuck up
But my feelings are my main concern
So don't think that I'd give in
Cause now I know how to show
My feelings when I get involved
I'll take it slow before I say ""Oh, No""
I'll treat you like you treat me
I'll be straight loyal & all
So don't take advantage of Father
Because I'll step up but not crawl
So give me what you can give me
Love, attention, a lot of respect
I don't ask for a whole lot
But I'm gone if you wanna step
That's why I like to take it slow
Not rush because I want more
The next time that I fall in love
Hmm, you bets I'll be sure

(I'm gonna treat you...)
Chorus

So ladies... now y'all know how I'm living... & y'all know what I'm about. And that's the end. So if you feel you can commit, come & give it a shot

",1980-2000
39,"


(Would you do for me)
Sweetheart
(Would you do for me)
I'm talking to you and no one else
I just want you to know...
(Would you do for me)
...that I'll do for you


If you do for me
I will do for you


Well, excuse me, let me let you know the time
On, how I feel and what's on my mind
It's you that I want to be in my life
And if it's possible, you will be my wife
I lead you in the right direction, of course
Never play you out, so there's no loss
I'll be your love daddy, just wait and see
That me and you, we were meant to be


If you do for me (I'll do)
I will do for you (For you)
If you do for me (I'll do...)
I will do for you (...I'll do for you)
If you do for me (I'll do)
I will do for you (For you...)
If you do for me
I will do for you


I wanna treat ya like a queen
Cook and clean
Get your bubble bath ready so I can rub you with Noxzem'
And watch how gentle I'll be when I rub your back
And after that there's dinner and cognac
A little romance for the quiet storm
And a lotta lovin' for the whole night long
I'm gonna caress ya body and give you a kiss
And, uh, rub you down where you been missed
Nibble and your navel and kiss your thigh
Play with your hair 'cause I'm on a love-high
Well, I don't know, it's the way that I am
Introduce me to your mother and I'll say 'Hello, ma'am'
Well, I don't know, it's the way I was brought up
Respect my female and never get caught up
In another affair and I believe the same
If you try to be slick, then the doors will open


(I'll do) If you do for me
(For you) I will do for you
(I'll do it for you) If you do for me
(I'll do for you...) I will do for you
If you do for me
I will do for you
If you do for me
I will do for you


Yeah, you know, sweetheart
I told you once
And I don't feel I have to tell you anymore
It's you that I want
And it's you, that I'll do for


Since we both know what we want, let's get it together
And fly like two birds of a feather
'Cause I'mma protect me and look out for my
Feelings and that's why I always try
To be loyal and gentle, lay and let
Observe the female in case I must leave camp
And if I have to break out, you don't deserve
To live a good life and love a black hummingbird
It may be sexy but it is true
If you try to adore me, then I'll adore you
But if you treat me right, then
I'll treat you with opens arms and a rose just to greet you
Love you dearly, respect and care for
You my dear, so how could you ignore
The way I feel is real from the start
So I stopped playing games and mastered the art


If you do for me
I will do for you (I'll do...)
If you do for me
I will do for you (...for you...)
If you do for me
I will do for you
If you do for me
I will do for you (I'll do for you)
If you do for me (I'll do...)
I will do for you (...for you)
If you do for me (I'll do...)
I will do for you (I'll do for you)
*fade*

",1980-2000
